x,pred_E_A_given_X,actual_E_A_given_X,pred_E_M_given_X,actual_E_M_given_X,pred_E_C_given_X,actual_E_C_given_X,pred_E_L_given_X,actual_E_L_given_X
48,5.598909971740008,4.972222222222222,20.447920872022607,21.349206349206348,0.297549258735926,0.3277908675044091,74.04683084376262,74.32142857142857
49,5.554145899410965,4.885572139303482,21.021295876755776,22.01492537313433,0.2995617858213814,0.3336607259413055,75.57544177616674,75.90049751243781
50,5.522391991570074,4.9375,21.240516332982086,22.60625,0.2966661749209694,0.333935,76.76290832455216,77.54375
51,5.489130434782608,4.758169934640523,21.52111801242236,23.522875816993466,0.29501028032696447,0.34635999728611166,78.01024844720497,79.28104575163398
52,5.425650557620818,4.402985074626866,21.972118959107807,24.85820895522388,0.2963867380831923,0.36603594453766675,79.39776951672863,81.26119402985074
53,5.351338873499539,4.107142857142857,22.440443213296398,25.4375,0.29805561664179947,0.3768753496414587,80.79178208679593,82.54464285714286
54,5.311995696611081,4.2625,22.80957504034427,25.0875,0.2990062064136138,0.3700445816186558,82.12157073695535,83.35
55,5.309242529534399,3.8823529411764706,23.166782487838777,26.13235294117647,0.30033965276621166,0.38546426835196895,83.47602501737317,85.01470588235294
56,5.313984168865435,3.5428571428571427,23.14423922603342,27.885714285714286,0.2967378574120941,0.41870444606414,84.45822339489885,87.42857142857143
57,5.321058688147295,3.4,23.44649021864212,28.533333333333335,0.29808623065749884,0.4264491638452857,85.76754890678941,88.93333333333334
58,5.4371165644171775,3.2830188679245285,23.478527607361965,28.849056603773583,0.29536576380732843,0.4317411886119399,86.91564417177914,90.13207547169812
59,5.575289575289576,2.7674418604651163,23.498069498069498,30.023255813953487,0.29156513184091465,0.4534583085587542,88.07335907335907,91.79069767441861
60,5.7272727272727275,2.816326530612245,23.330303030303032,29.387755102040817,0.287003367003367,0.4431519274376418,89.05757575757576,92.20408163265306
61,5.890688259109312,2.807017543859649,22.83400809716599,30.210526315789473,0.27975697621661505,0.4541176914336365,89.7246963562753,94.01754385964912
62,5.7823529411764705,2.7464788732394365,23.68235294117647,30.464788732394368,0.284737099834731,0.4585672201785111,91.46470588235294,95.21126760563381
63,6.111111111111111,2.652173913043478,23.066666666666666,31.05217391304348,0.2746526319718558,0.46324449264407846,92.17777777777778,96.70434782608696
64,6.32,2.2560975609756095,23.05,31.88109756097561,0.272158203125,0.4900765767911585,93.37,98.13719512195122
65,6.1,3.4878048780487805,23.38,30.365853658536587,0.2732213017751479,0.4266416510318949,94.48,98.85365853658537
66,6.243243243243243,3.5652173913043477,23.54054054054054,30.47826086956522,0.26678331223785773,0.40390066674651653,95.78378378378379,100.04347826086956
67,6.32,3.388888888888889,23.84,30.11111111111111,0.27087547337937173,0.3978861909358679,97.16,100.5
68,6.277777777777778,3.588235294117647,23.77777777777778,29.941176470588236,0.26602748942714327,0.3801139833095868,98.05555555555556,101.52941176470588
69,6.142857142857143,3.5384615384615383,24.571428571428573,29.692307692307693,0.2716416119062622,0.38868692743929045,99.71428571428571,102.23076923076923
70,6.5,3.111111111111111,25.0,31.11111111111111,0.25857142857142856,0.38884353741496597,101.5,104.22222222222223
71,6.0,3.5714285714285716,26.0,32.0,0.2660186470938306,0.41049111570833446,103.0,106.57142857142857
72,5.0,3.5555555555555554,25.0,30.88888888888889,0.26851851851851855,0.36625514403292175,102.0,106.44444444444444
73,,3.875,,30.125,,0.3458904109589041,,107.0
74,,3.6666666666666665,,29.555555555555557,,0.3414495576657739,,107.22222222222223
75,,3.3,,30.5,,0.3582577777777778,,108.8
76,,3.5714285714285716,,31.214285714285715,,0.34922833399287695,,110.78571428571429
77,,3.4285714285714284,,31.142857142857142,,0.3519986506999494,,111.57142857142857
78,,3.5,,32.0,,0.361275476660092,,113.5
79,,3.2857142857142856,,31.714285714285715,,0.357154302195161,,114.0
80,,3.4,,31.8,,0.34906249999999994,,115.2
81,,3.4545454545454546,,31.272727272727273,,0.3415637860082304,,115.72727272727273
82,,3.2,,32.0,,0.34759071980963707,,117.2
83,,4.222222222222222,,31.666666666666668,,0.32704311220786764,,118.88888888888889
84,,4.0,,31.2,,0.3126984126984127,,119.2
85,,4.4,,32.0,,0.307515570934256,,121.4
