bs,x,actual_prob,pred_prob,abs_err,ape_percent
64,63,4.6875e-05,8.873556616894233e-05,4.186056616894233e-05,89.30254116041031
64,16,0.0002473958333333333,0.0004645736434375448,0.0002171778101042115,87.78555692633392
64,15,6.770833333333333e-05,0.00010013352849849765,3.242519516516432e-05,47.88951901316577
64,17,0.001078125,0.0014797639587126707,0.0004016389587126706,37.25346863421872
64,62,0.00034114583333333333,0.00046317927530421376,0.00012203344197088043,35.77163489833441
64,14,1.0416666666666666e-05,1.3729221658636694e-05,3.3125549919700274e-06,31.800527922912263
64,18,0.002942708333333333,0.0034689752469599417,0.0005262669136266085,17.88376060465643
128,31,2.7777777777777776e-05,4.5294703022879254e-05,1.751692524510148e-05,63.06093088236533
128,123,3.472222222222222e-05,1.5852527710945773e-05,1.886969451127645e-05,54.34472019247617
128,124,6.944444444444444e-06,3.939181900960987e-06,3.0052625434834568e-06,43.27578062616178
128,32,0.00010416666666666667,0.00013266572364885055,2.8499056982183877e-05,27.35909470289652
128,30,1.0416666666666666e-05,1.283104670039588e-05,2.4143800337292132e-06,23.17804832380045
128,121,0.0001840277777777778,0.00015038610386556667,3.3641673912211136e-05,18.28075865418265
128,34,0.00059375,0.000693457404922335,9.970740492233501e-05,16.79282609218274
128,29,3.472222222222222e-06,2.964878045555687e-06,5.073441766665348e-07,14.611512287996204
256,247,4.166666666666667e-06,2.444864181475977e-09,4.164221802485191e-06,99.94132325964456
256,241,8.333333333333334e-06,2.328479125438916e-06,6.004854207894418e-06,72.05825049473302
256,240,1.2499999999999999e-05,5.601886316930491e-06,6.898113683069508e-06,55.18490946455608
256,140,0.0010708333333333331,0.00071487721840002,0.00035595611493331313,33.241037970426135
256,141,0.0010583333333333332,0.0007358335929552278,0.00032249974037810547,30.47241641367926
256,138,0.0011666666666666668,0.0008471412615029814,0.00031952540516368534,27.387891871173025
256,67,0.00011666666666666667,0.00014838793859185247,3.172127192518581e-05,27.189661650159263
256,142,0.0011166666666666668,0.0008151207658155807,0.0003015459008510862,27.004110523977864
512,133,5.208333333333333e-06,1.3644947300297412e-05,8.43661396696408e-06,161.98298816571034
512,136,2.0833333333333333e-05,4.907871521282174e-05,2.8245381879488407e-05,135.57783302154436
512,135,1.5625e-05,3.30192069966171e-05,1.7394206996617102e-05,111.32292477834945
512,474,5.208333333333333e-06,2.563952274751522e-07,4.951938105858181e-06,95.07721163247707
512,473,5.208333333333333e-06,4.900915241967683e-07,4.718241809136565e-06,90.59024273542205
512,467,5.208333333333334e-05,1.3962858699478912e-05,3.8120474633854423e-05,73.19131129700048
512,282,0.0002708333333333333,9.2588284575974e-05,0.00017824504875735931,65.81355646425575
512,283,0.000296875,0.0001164870631552853,0.0001803879368447147,60.76225241085127
1024,534,6.944444444444444e-06,3.5897721715256065e-05,2.8953277270811622e-05,416.9271926996874
1024,531,1.3888888888888888e-05,6.053979958898281e-05,4.6650910700093925e-05,335.8865570406763
1024,279,6.944444444444444e-06,1.809395424950762e-05,1.1149509805063176e-05,160.55294119290974
1024,533,2.0833333333333333e-05,4.2890097578704324e-05,2.205676424537099e-05,105.87246837778078
1024,919,6.944444444444444e-06,1.3380529938424488e-05,6.436085493980044e-06,92.67963111331264
1024,558,1.3888888888888888e-05,1.1098267459378115e-06,1.2779062142951076e-05,92.00924742924775
1024,555,6.944444444444444e-06,7.068838182325798e-07,6.2375606262118644e-06,89.82087301745085
