local_bs,level,x,prob,gumbel_prob
32,L1_layer_iid_shuffle,1,0.0,0.00017553111149986488
32,L1_layer_iid_shuffle,2,0.0,0.0004898774793361879
32,L1_layer_iid_shuffle,3,0.0,0.0011734474968548864
32,L1_layer_iid_shuffle,4,0.0,0.002460817888612054
32,L1_layer_iid_shuffle,5,0.0,0.004596591215359562
32,L1_layer_iid_shuffle,6,0.0,0.007763798349360875
32,L1_layer_iid_shuffle,7,0.0,0.012014233242856727
32,L1_layer_iid_shuffle,8,0.0006720430107526882,0.017229324493186277
32,L1_layer_iid_shuffle,9,0.004368279569892473,0.023126812807875364
32,L1_layer_iid_shuffle,10,0.01243279569892473,0.029309135588692168
32,L1_layer_iid_shuffle,11,0.02637768817204301,0.035334996681626214
32,L1_layer_iid_shuffle,12,0.05678763440860215,0.04079157073415564
32,L1_layer_iid_shuffle,13,0.07375672043010753,0.045349848130480035
32,L1_layer_iid_shuffle,14,0.07409274193548387,0.04879486655481129
32,L1_layer_iid_shuffle,15,0.059307795698924734,0.05103125315586652
32,L1_layer_iid_shuffle,16,0.04586693548387097,0.05207001375935202
32,L1_layer_iid_shuffle,17,0.035618279569892476,0.05200446618177644
32,L1_layer_iid_shuffle,18,0.039986559139784945,0.05098255750381693
32,L1_layer_iid_shuffle,19,0.04317876344086022,0.049180824237636186
32,L1_layer_iid_shuffle,20,0.04284274193548387,0.046783009100587074
32,L1_layer_iid_shuffle,21,0.0456989247311828,0.043964462510837986
32,L1_layer_iid_shuffle,22,0.05493951612903226,0.040882165407424766
32,L1_layer_iid_shuffle,23,0.0625,0.037669495940183755
32,L1_layer_iid_shuffle,24,0.06334005376344086,0.0344345924905918
32,L1_layer_iid_shuffle,25,0.056451612903225805,0.03126118113754839
32,L1_layer_iid_shuffle,26,0.05779569892473118,0.028210902002034747
32,L1_layer_iid_shuffle,27,0.047211021505376344,0.02532639013991614
32,L1_layer_iid_shuffle,28,0.039986559139784945,0.022634584824354965
32,L1_layer_iid_shuffle,29,0.0270497311827957,0.020149927194927596
32,L1_layer_iid_shuffle,30,0.02217741935483871,0.017877250509229354
32,L1_layer_iid_shuffle,31,0.006216397849462365,0.015814270703442573
32,L1_layer_iid_shuffle,32,0.0013440860215053765,0.01395365388916368
32,L1_layer_iid_shuffle,33,0.0,0.012284679594026841
32,L1_layer_iid_shuffle,34,0.0,0.010794541441025889
32,L1_layer_iid_shuffle,35,0.0,0.009469336789395915
32,L1_layer_iid_shuffle,36,0.0,0.008294798426663674
32,L1_layer_iid_shuffle,37,0.0,0.007256818171795927
32,L1_layer_iid_shuffle,38,0.0,0.00634180658852327
32,L1_layer_iid_shuffle,39,0.0,0.005536926441496505
32,L1_layer_iid_shuffle,40,0.0,0.004830230976507572
32,L1_layer_iid_shuffle,41,0.0,0.004210732075447313
32,L1_layer_iid_shuffle,42,0.0,0.003668418062221528
32,L1_layer_iid_shuffle,43,0.0,0.0031942364854038543
32,L1_layer_iid_shuffle,44,0.0,0.0027800535485349286
32,L1_layer_iid_shuffle,45,0.0,0.002418598921533314
32,L1_layer_iid_shuffle,46,0.0,0.002103402348063736
32,L1_layer_iid_shuffle,47,0.0,0.00182872666229574
32,L1_layer_iid_shuffle,48,0.0,0.0015895004491333835
32,L1_layer_iid_shuffle,49,0.0,0.001381252540580066
32,L1_layer_iid_shuffle,50,0.0,0.0012000497658256107
32,L1_layer_iid_shuffle,51,0.0,0.0010424388046328828
32,L1_layer_iid_shuffle,52,0.0,0.0009053925845870371
32,L1_layer_iid_shuffle,53,0.0,0.0007862613744502937
32,L1_layer_iid_shuffle,54,0.0,0.0006827285280849968
32,L1_layer_iid_shuffle,55,0.0,0.0005927707027617563
32,L1_layer_iid_shuffle,56,0.0,0.0005146222941605487
32,L1_layer_iid_shuffle,57,0.0,0.0004467437842677553
32,L1_layer_iid_shuffle,58,0.0,0.00038779367736457734
32,L1_layer_iid_shuffle,59,0.0,0.0003366036956403144
32,L1_layer_iid_shuffle,60,0.0,0.00029215691395925914
32,L1_layer_iid_shuffle,61,0.0,0.00025356852877126557
32,L1_layer_iid_shuffle,62,0.0,0.00022006897607478246
32,L1_layer_iid_shuffle,63,0.0,0.000190989135579136
32,L1_layer_iid_shuffle,64,0.0,0.0001657473812606338
32,L1_layer_iid_shuffle,65,0.0,0.0001438382613656701
32,L1_layer_iid_shuffle,66,0.0,0.00012482261291641382
32,L1_layer_iid_shuffle,67,0.0,0.00010831893648842813
32,L1_layer_iid_shuffle,68,0.0,9.399587626818328e-05
32,L1_layer_iid_shuffle,69,0.0,8.156566800545313e-05
32,L1_layer_iid_shuffle,70,0.0,7.077843347623373e-05
32,L1_layer_iid_shuffle,71,0.0,6.141721449140016e-05
32,L1_layer_iid_shuffle,72,0.0,5.329365238744417e-05
32,L1_layer_iid_shuffle,73,0.0,4.624423046197242e-05
32,L1_layer_iid_shuffle,74,0.0,4.012700701415521e-05
32,L1_layer_iid_shuffle,75,0.0,3.481877570685061e-05
32,L1_layer_iid_shuffle,76,0.0,3.0212597926207354e-05
32,L1_layer_iid_shuffle,77,0.0,2.621565884437211e-05
32,L1_layer_iid_shuffle,78,0.0,2.2747405042673146e-05
32,L1_layer_iid_shuffle,79,0.0,1.973792696865411e-05
32,L1_layer_iid_shuffle,80,0.0,1.7126554219335228e-05
32,L1_layer_iid_shuffle,81,0.0,1.4860635791094929e-05
32,L1_layer_iid_shuffle,82,0.0,1.2894481043124905e-05
32,L1_layer_iid_shuffle,83,0.0,1.1188440277331952e-05
32,L1_layer_iid_shuffle,84,0.0,9.708106588581902e-06
