local_bs,level,layer,num_samples,expected_x,p95_x,spike_x,spike_prob,max_prob_x,max_prob
16,fixed_original,13,496,13.068548387096774,16,16,0.2923387096774194,16,0.2923387096774194
16,fixed_original,14,496,10.62298387096774,16,16,0.1935483870967742,8,0.20766129032258066
16,fixed_original,15,496,10.175403225806452,16,16,0.19153225806451613,8,0.19153225806451613
16,fixed_original,16,496,10.508064516129032,16,16,0.20967741935483872,16,0.20967741935483872
16,fixed_original,17,496,12.276209677419354,16,16,0.2762096774193548,16,0.2762096774193548
16,fixed_original,18,496,10.471774193548388,16,16,0.1935483870967742,16,0.1935483870967742
16,fixed_original,19,496,12.10483870967742,16,16,0.25,16,0.25
16,fixed_original,20,496,10.316532258064516,16,16,0.1875,8,0.21169354838709678
16,fixed_original,21,496,13.056451612903224,16,16,0.2560483870967742,16,0.2560483870967742
16,fixed_original,22,496,14.578629032258064,16,16,0.37298387096774194,16,0.37298387096774194
16,fixed_original,23,496,14.828629032258064,16,16,0.4012096774193548,16,0.4012096774193548
16,L0_global_iid_shuffle,0,496,5.455645161290322,7,16,0.0,5,0.4475806451612903
16,L0_global_iid_shuffle,1,496,5.354838709677419,7,16,0.0,5,0.4838709677419355
16,L0_global_iid_shuffle,2,496,5.415322580645161,7,16,0.0,5,0.4778225806451613
16,L0_global_iid_shuffle,3,496,5.413306451612903,7,16,0.0,5,0.4737903225806452
16,L0_global_iid_shuffle,4,496,5.34475806451613,7,16,0.0,5,0.4475806451612903
16,L0_global_iid_shuffle,5,496,5.350806451612904,7,16,0.0,5,0.45564516129032256
16,L0_global_iid_shuffle,6,496,5.409274193548387,7,16,0.0,5,0.46169354838709675
16,L0_global_iid_shuffle,7,496,5.483870967741935,7,16,0.0,5,0.4375
16,L0_global_iid_shuffle,8,496,5.441532258064516,7,16,0.0,5,0.4032258064516129
16,L0_global_iid_shuffle,9,496,5.431451612903226,7,16,0.0,5,0.4475806451612903
16,L0_global_iid_shuffle,10,496,5.445564516129032,7,16,0.0,5,0.4274193548387097
16,L0_global_iid_shuffle,11,496,5.375,7,16,0.0,5,0.4778225806451613
16,L0_global_iid_shuffle,12,496,5.399193548387096,7,16,0.0,5,0.46169354838709675
16,L0_global_iid_shuffle,13,496,5.33266129032258,7,16,0.0,5,0.4899193548387097
16,L0_global_iid_shuffle,14,496,5.455645161290322,7,16,0.0,5,0.4334677419354839
16,L0_global_iid_shuffle,15,496,5.399193548387096,7,16,0.0,5,0.4536290322580645
