bs,layer,source,x,probability
2,0,predicted,2,0.05292505429016811
2,0,predicted,3,0.576293151410884
2,0,predicted,4,0.3105929689278339
2,0,predicted,5,0.05552096967270421
2,0,predicted,6,0.004623301939711257
2,0,predicted,7,4.43949783754048e-05
2,0,predicted,8,1.587803232353266e-07
2,0,fixed_actual,2,0.04158266129032258
2,0,fixed_actual,3,0.4722782258064516
2,0,fixed_actual,4,0.39818548387096775
2,0,fixed_actual,5,0.05216733870967742
2,0,fixed_actual,6,0.03578629032258065
2,0,cont_sim,2,0.0524
2,0,cont_sim,3,0.57885
2,0,cont_sim,4,0.3068
2,0,cont_sim,5,0.0575
2,0,cont_sim,6,0.00445
2,1,predicted,2,0.05170473223794388
2,1,predicted,3,0.5945291668021592
2,1,predicted,4,0.29414489936630134
2,1,predicted,5,0.05350585683451489
2,1,predicted,6,0.006024617682386548
2,1,predicted,7,9.025073572450326e-05
2,1,predicted,8,4.763409696868054e-07
2,1,fixed_actual,2,0.04712701612903226
2,1,fixed_actual,3,0.5040322580645161
2,1,fixed_actual,4,0.3649193548387097
2,1,fixed_actual,5,0.06300403225806452
2,1,fixed_actual,6,0.020917338709677418
2,1,cont_sim,2,0.05265
2,1,cont_sim,3,0.5913
2,1,cont_sim,4,0.2963
2,1,cont_sim,5,0.05395
2,1,cont_sim,6,0.0058
2,2,predicted,2,0.042257652322409925
2,2,predicted,3,0.5025211457283266
2,2,predicted,4,0.31214842860830194
2,2,predicted,5,0.1086958648014763
2,2,predicted,6,0.03405491792200507
2,2,predicted,7,0.00032121259389633286
2,2,predicted,8,7.780235838330551e-07
2,2,fixed_actual,2,0.042086693548387094
2,2,fixed_actual,3,0.40599798387096775
2,2,fixed_actual,4,0.35408266129032256
2,2,fixed_actual,5,0.11617943548387097
2,2,fixed_actual,6,0.08165322580645161
2,2,cont_sim,2,0.04185
2,2,cont_sim,3,0.51065
2,2,cont_sim,4,0.3109
2,2,cont_sim,5,0.10255
2,2,cont_sim,6,0.0336
2,2,cont_sim,7,0.00045
2,3,predicted,2,0.029482679734244916
2,3,predicted,3,0.3626091646478277
2,3,predicted,4,0.38513775844355647
2,3,predicted,5,0.1854248681996293
2,3,predicted,6,0.03581810989935615
2,3,predicted,7,0.0015090481919875073
2,3,predicted,8,1.8370883397827967e-05
2,3,fixed_actual,2,0.03024193548387097
2,3,fixed_actual,3,0.33014112903225806
2,3,fixed_actual,4,0.4188508064516129
2,3,fixed_actual,5,0.11466733870967742
2,3,fixed_actual,6,0.1003024193548387
2,3,fixed_actual,7,0.0057963709677419355
2,3,cont_sim,2,0.02915
2,3,cont_sim,3,0.36185
2,3,cont_sim,4,0.38525
2,3,cont_sim,5,0.1871
2,3,cont_sim,6,0.03515
2,3,cont_sim,7,0.0015
2,4,predicted,2,0.04255338067442766
2,4,predicted,3,0.6405890203787558
2,4,predicted,4,0.28417301872642436
2,4,predicted,5,0.031435518929663155
2,4,predicted,6,0.0012490612907290668
2,4,fixed_actual,2,0.04788306451612903
2,4,fixed_actual,3,0.5546875
2,4,fixed_actual,4,0.35408266129032256
2,4,fixed_actual,5,0.025453629032258066
2,4,fixed_actual,6,0.017893145161290324
2,4,cont_sim,2,0.0434
2,4,cont_sim,3,0.63725
2,4,cont_sim,4,0.28765
2,4,cont_sim,5,0.03075
2,4,cont_sim,6,0.00095
2,5,predicted,2,0.0684189811333409
2,5,predicted,3,0.6757819168773576
2,5,predicted,4,0.24039256783603505
2,5,predicted,5,0.015044149821556333
2,5,predicted,6,0.00036238433171015136
2,5,fixed_actual,2,0.09753024193548387
2,5,fixed_actual,3,0.5425907258064516
2,5,fixed_actual,4,0.3419858870967742
2,5,fixed_actual,5,0.017893145161290324
2,5,cont_sim,2,0.06725
2,5,cont_sim,3,0.6756
2,5,cont_sim,4,0.24115
2,5,cont_sim,5,0.01565
2,5,cont_sim,6,0.00035
2,6,predicted,2,0.0787724585240391
2,6,predicted,3,0.6193693956897112
2,6,predicted,4,0.2725879935146495
2,6,predicted,5,0.02722085402981923
2,6,predicted,6,0.0019182092069215363
2,6,predicted,7,0.00012702425858480786
2,6,predicted,8,4.064776274712479e-06
2,6,fixed_actual,2,0.07787298387096774
2,6,fixed_actual,3,0.5143649193548387
2,6,fixed_actual,4,0.3755040322580645
2,6,fixed_actual,5,0.030493951612903226
2,6,fixed_actual,6,0.0017641129032258064
2,6,cont_sim,2,0.0785
2,6,cont_sim,3,0.62195
2,6,cont_sim,4,0.27095
2,6,cont_sim,5,0.02645
2,6,cont_sim,6,0.00205
2,6,cont_sim,7,0.0001
2,7,predicted,2,0.04887904584966018
2,7,predicted,3,0.6066836417651698
2,7,predicted,4,0.3143218454287526
2,7,predicted,5,0.02926086362269124
2,7,predicted,6,0.0008546033337262668
2,7,fixed_actual,2,0.04359879032258065
2,7,fixed_actual,3,0.5201612903225806
2,7,fixed_actual,4,0.39642137096774194
2,7,fixed_actual,5,0.03654233870967742
2,7,fixed_actual,6,0.003276209677419355
2,7,cont_sim,2,0.0499
2,7,cont_sim,3,0.60835
2,7,cont_sim,4,0.31195
2,7,cont_sim,5,0.02895
2,7,cont_sim,6,0.00085
2,8,predicted,2,0.07650963250357698
2,8,predicted,3,0.592408401536892
2,8,predicted,4,0.2564728386568353
2,8,predicted,5,0.06500695076742974
2,8,predicted,6,0.009241427640885161
2,8,predicted,7,0.00035668411810613497
2,8,predicted,8,4.0647762747102775e-06
2,8,fixed_actual,2,0.109375
2,8,fixed_actual,3,0.4952116935483871
2,8,fixed_actual,4,0.3137600806451613
2,8,fixed_actual,5,0.04662298387096774
2,8,fixed_actual,6,0.03452620967741935
2,8,fixed_actual,7,0.0005040322580645161
2,8,cont_sim,2,0.0738
2,8,cont_sim,3,0.5928
2,8,cont_sim,4,0.25785
2,8,cont_sim,5,0.06635
2,8,cont_sim,6,0.00885
2,8,cont_sim,7,0.00035
2,9,predicted,2,0.03738606559126237
2,9,predicted,3,0.5294319335429404
2,9,predicted,4,0.39518798129491567
2,9,predicted,5,0.036445832029217626
2,9,predicted,6,0.001523370177142945
2,9,predicted,7,2.4674462230099497e-05
2,9,predicted,8,1.4290229090590395e-07
2,9,fixed_actual,2,0.059727822580645164
2,9,fixed_actual,3,0.4412802419354839
2,9,fixed_actual,4,0.4586693548387097
2,9,fixed_actual,5,0.03780241935483871
2,9,fixed_actual,6,0.0022681451612903227
2,9,fixed_actual,7,0.00025201612903225806
2,9,cont_sim,2,0.03455
2,9,cont_sim,3,0.53235
2,9,cont_sim,4,0.395
2,9,cont_sim,5,0.03655
2,9,cont_sim,6,0.00155
2,10,predicted,2,0.09046699452474635
2,10,predicted,3,0.6942597864569784
2,10,predicted,4,0.2120894830011056
2,10,predicted,5,0.0031510590266486853
2,10,predicted,6,3.267699052094563e-05
2,10,fixed_actual,2,0.12172379032258064
2,10,fixed_actual,3,0.5715725806451613
2,10,fixed_actual,4,0.3019153225806452
2,10,fixed_actual,5,0.004788306451612903
2,10,cont_sim,2,0.09175
2,10,cont_sim,3,0.6913
2,10,cont_sim,4,0.2139
2,10,cont_sim,5,0.00305
2,11,predicted,2,0.015660947865179506
2,11,predicted,3,0.4787732937085392
2,11,predicted,4,0.4265124333884786
2,11,predicted,5,0.07464104214766532
2,11,predicted,6,0.0044122828901373284
2,11,fixed_actual,2,0.021169354838709676
2,11,fixed_actual,3,0.4498487903225806
2,11,fixed_actual,4,0.45110887096774194
2,11,fixed_actual,5,0.04586693548387097
2,11,fixed_actual,6,0.032006048387096774
2,11,cont_sim,2,0.0169
2,11,cont_sim,3,0.48085
2,11,cont_sim,4,0.42285
2,11,cont_sim,5,0.07475
2,11,cont_sim,6,0.00465
2,12,predicted,2,0.13688451665745313
2,12,predicted,3,0.6282221608553916
2,12,predicted,4,0.20994366220083246
2,12,predicted,5,0.02390990321767691
2,12,predicted,6,0.0010394236299671776
2,12,predicted,7,3.175606464640297e-07
2,12,predicted,8,1.5878032324176094e-08
2,12,fixed_actual,2,0.1741431451612903
2,12,fixed_actual,3,0.5345262096774194
2,12,fixed_actual,4,0.25151209677419356
2,12,fixed_actual,5,0.038558467741935484
2,12,fixed_actual,6,0.0012600806451612903
2,12,cont_sim,2,0.14205
2,12,cont_sim,3,0.62115
2,12,cont_sim,4,0.211
2,12,cont_sim,5,0.0245
2,12,cont_sim,6,0.00125
2,12,cont_sim,7,5e-05
2,13,predicted,2,0.019056512711571615
2,13,predicted,3,0.5529607957409274
2,13,predicted,4,0.3887748916737124
2,13,predicted,5,0.03802328278445306
2,13,predicted,6,0.00118451708933565
2,13,fixed_actual,2,0.017137096774193547
2,13,fixed_actual,3,0.48689516129032256
2,13,fixed_actual,4,0.4586693548387097
2,13,fixed_actual,5,0.03528225806451613
2,13,fixed_actual,6,0.0020161290322580645
2,13,cont_sim,2,0.01825
2,13,cont_sim,3,0.5394
2,13,cont_sim,4,0.4032
2,13,cont_sim,5,0.0378
2,13,cont_sim,6,0.00135
2,14,predicted,2,0.044065683863041424
2,14,predicted,3,0.56844822846888
2,14,predicted,4,0.3032420750835311
2,14,predicted,5,0.074514144913339
2,14,predicted,6,0.009540792062304944
2,14,predicted,7,0.00018723375715401483
2,14,predicted,8,1.8418517494775806e-06
2,14,fixed_actual,2,0.027721774193548387
2,14,fixed_actual,3,0.4493447580645161
2,14,fixed_actual,4,0.42086693548387094
2,14,fixed_actual,5,0.0793850806451613
2,14,fixed_actual,6,0.02242943548387097
2,14,fixed_actual,7,0.00025201612903225806
2,14,cont_sim,2,0.0455
2,14,cont_sim,3,0.5628
2,14,cont_sim,4,0.30535
2,14,cont_sim,5,0.07715
2,14,cont_sim,6,0.00915
2,14,cont_sim,7,5e-05
2,15,predicted,2,0.048753371223822846
