bs,layer,pred_expected_x,fixed_expected_x,cont_expected_x,pred_p95,fixed_p95,cont_p95,tvd_fixed_vs_pred,tvd_cont_vs_pred,num_fixed_batches,num_cont_samples
8,15,11.081851638221053,12.409274193548388,11.099599999999999,14,20,14,0.1939183295237892,0.009810430486622288,992,20000
8,16,10.77469245923488,11.953629032258062,10.77705,13,16,13,0.26080037096992686,0.003375599807991631,992,20000
8,17,11.55948355766184,12.349798387096774,11.553949999999999,14,16,14,0.15848619270198538,0.008790950812935048,992,20000
8,18,10.973946322291757,12.253024193548388,10.97515,13,16,13,0.18940164698163245,0.004937231680424574,992,20000
8,19,12.734215267814312,13.07560483870968,12.713300000000002,16,17,16,0.17945174109948683,0.007878251296965191,992,20000
8,20,10.810772011865417,11.970766129032258,10.803850000000002,13,17,13,0.19733190064850667,0.0039935877473046095,992,20000
8,21,12.114477484169962,12.786290322580646,12.1091,14,16,14,0.20760583891712736,0.005455788049930546,992,20000
8,22,10.364537979296443,11.471774193548388,10.349699999999999,12,16,12,0.20122606172702284,0.0096238121391568,992,20000
8,23,11.868443345876205,12.36491935483871,11.86265,14,16,14,0.13872192800039856,0.007827271903580598,992,20000
8,layer_avg,11.594606387220052,12.453251008064518,11.589147916666667,,,,0.1935597289863991,0.007281098812822692,,20000
16,0,20.7237830633311,24.296370967741932,20.715550000000004,25,32,25,0.30411212408324123,0.009503748886909446,496,20000
16,1,20.399734612858346,23.266129032258064,20.396549999999998,24,33,24,0.2507528111668893,0.005348390980347431,496,20000
16,2,23.605309982865094,27.173387096774196,23.630200000000002,30,43,30,0.23751613312648723,0.010856243832791705,496,20000
16,3,27.238035608703587,28.07862903225806,27.221500000000002,33,48,33,0.3856103132802898,0.016256122066812224,496,20000
16,4,22.210595316039868,24.125,22.212750000000007,26,32,26,0.20534716342694603,0.011248656635204805,496,20000
16,5,21.463772411155357,23.219758064516125,21.487699999999997,24,32,24,0.25492677305448996,0.00787653411468271,496,20000
16,6,20.222237095444775,22.495967741935484,20.232549999999996,24,32,24,0.23322048124986675,0.0057690912793523985,496,20000
16,7,23.31381639863309,24.633064516129032,23.3545,28,32,28,0.16756360201591053,0.01262924492302551,496,20000
16,8,22.449152965515047,23.713709677419356,22.377500000000005,28,36,28,0.2541816230212809,0.010941372457294332,496,20000
16,9,24.355280792210806,25.139112903225804,24.3338,28,32,28,0.22584926604766303,0.009104151769578264,496,20000
16,10,21.278183504635603,23.133064516129032,21.285600000000002,24,31,24,0.3234714547210806,0.005362347639379618,496,20000
16,11,26.34457049175306,26.639112903225804,26.342050000000004,31,33,31,0.2592212767623972,0.009881532266744817,496,20000
16,12,22.70931227111954,23.413306451612904,22.70365,26,30,26,0.2310999290107129,0.011620470134415993,496,20000
16,13,22.697690725633375,24.897177419354836,22.686900000000005,26,32,26,0.2546615888318075,0.007976336672273144,496,20000
16,14,21.177587339527765,24.338709677419352,21.17425,25,32,25,0.30342032326433993,0.0070535087446668395,496,20000
16,15,20.847519964858225,24.09475806451613,20.83235,25,41,25,0.26364278329589064,0.010529526813045129,496,20000
16,16,20.702709611553697,23.520161290322584,20.7301,24,32,24,0.32484680155262036,0.0058782943664092676,496,20000
16,17,22.243323571779243,24.064516129032256,22.237,27,32,27,0.20885783206204764,0.005871569906155928,496,20000
16,18,20.82714129182367,23.88104838709678,20.8221,24,33,24,0.22308810463129403,0.010392545084206742,496,20000
16,19,25.334061377504103,26.122983870967737,25.35235,30,34,30,0.2732460428570633,0.008649255895644187,496,20000
16,20,20.450233515443824,23.191532258064516,20.453950000000003,24,34,24,0.22996017604910246,0.01131826374359332,496,20000
16,21,23.898678817497863,25.284274193548388,23.908749999999998,27,33,27,0.2334080506580394,0.004115041972894685,496,20000
16,22,19.865644610579345,22.59879032258065,19.869300000000003,23,32,23,0.27203949875962463,0.005586789777223474,496,20000
16,23,23.110403273923907,24.3608870967742,23.116449999999993,27,32,27,0.17544552379132378,0.007710947532736436,496,20000
16,layer_avg,22.394532442266257,24.4033938172043,22.394891666666666,,,,0.25397873653001707,0.008811666145641184,,20000
32,0,39.8644465763202,47.83870967741936,39.85565000000001,46,64,46,0.4024083390374159,0.015383998878840064,248,20000
32,1,39.22831927656904,45.572580645161295,39.21010000000001,45,65,45,0.28499704665575065,0.010244625186241326,248,20000
32,2,46.64750549358387,54.18951612903223,46.59520000000002,56,83,56,0.26270375008861724,0.007850345612154835,248,20000
32,3,54.367701247563005,55.20967741935483,54.40545000000001,63,96,63,0.5707762037308309,0.008336767558116312,248,20000
32,4,43.34004936812125,47.44354838709677,43.38125,49,64,49,0.25462312597851944,0.012909850224809288,248,20000
32,5,41.784411786193694,45.43951612903226,41.790099999999995,46,64,46,0.28938803089656495,0.00668888794900913,248,20000
32,6,39.008566146985885,43.92338709677418,39.0062,45,64,45,0.2718666149528231,0.010593226850368703,248,20000
32,7,46.50620310907266,49.20564516129032,46.52735,53,64,53,0.28012330721724865,0.007822001467809585,248,20000
32,8,44.27264260652652,46.43951612903225,44.23904999999999,52,73,52,0.3594769764987799,0.012600927839309146,248,20000
32,9,48.40528651472562,49.95564516129032,48.4623,54,64,54,0.31421999901415143,0.011357230569818735,248,20000
32,10,41.56669584041115,45.88306451612904,41.566849999999995,46,61,46,0.43862067217882056,0.006568339495353048,248,20000
32,11,52.60601479727838,52.98387096774194,52.61619999999999,59,66,59,0.3652077640638994,0.012892119009817356,248,20000
32,12,45.27096014358971,46.866935483870954,45.23965,51,59,51,0.2580916061152405,0.009054977789138644,248,20000
32,13,43.986375574856076,48.975806451612904,43.972049999999996,49,64,49,0.3081590812941557,0.012715657165899086,248,20000
32,14,40.7097088912669,47.32258064516131,40.7052,46,64,46,0.33925849154068544,0.009802143812602337,248,20000
32,15,39.98933348214551,46.78629032258065,40.0237,46,84,47,0.2982976039700366,0.012214673602254821,248,20000
32,16,40.39195840292256,46.08870967741936,40.426750000000006,45,64,45,0.3549682714374875,0.013735272474167242,248,20000
32,17,43.447350645314735,47.266129032258064,43.45899999999999,50,64,50,0.24820435006179495,0.008943687665999898,248,20000
32,18,40.21182674914712,46.93951612903226,40.19714999999999,45,65,46,0.27606871918064285,0.00870134494883975,248,20000
32,19,50.6454860634335,51.891129032258064,50.6288,57,67,56,0.35047566856714535,0.016834376024255727,248,20000
