bs,layer,num_cont_batch_samples,tvd,mape_percent,wape_percent,pred_expected_x,cont_expected_x,pred_p95,cont_p95,pred_spike_prob,cont_spike_prob
4,4,20000,0.07230160012905418,19.7369345385655,14.460320025810836,3.2816427174450697,3.1640499999999996,4,4,0.38534833607496083,0.31385
4,5,20000,0.023611364101616607,7.062477975582597,4.7222728203233215,3.1993072211114706,3.21175,4,4,0.3257508491423034,0.3196
4,6,20000,0.04782000436204592,163.86773854824102,9.564000872409185,2.627127437313439,2.586,4,4,0.07446544565551029,0.06195
4,7,20000,0.0162569219001416,290.00400617291564,3.25138438002832,2.6777073956116455,2.6964,4,4,0.09341294545095886,0.1017
4,8,20000,0.06454459236272776,204.80543476555604,12.908918472545553,2.6279739015335295,2.56055,4,4,0.0720020070966153,0.05095
4,9,20000,0.1086126053774783,23.681387293010356,21.72252107549566,3.398944492309587,3.26935,4,4,0.46513385385839695,0.35685
4,10,20000,0.06152053830971058,17.8861683694134,12.304107661942117,3.7589901631879634,3.69515,4,4,0.7663612170279959,0.70485
4,11,20000,0.014323434078660737,19.84323472767844,2.8646868157321475,3.5395242555640376,3.55895,4,4,0.5791875742143631,0.58415
4,12,20000,0.0848288650906526,19.233555323416514,16.96577301813052,3.311169090695161,3.2079500000000003,4,4,0.3937264973939977,0.3093
4,13,20000,0.05228059983181983,18.563596495079494,10.456119966363966,3.4168771962161464,3.3943000000000003,4,4,0.47102928308868236,0.4335
4,14,20000,0.0558191378655727,170.37446309604428,11.16382757311454,2.734903797644545,2.70695,4,4,0.1057159015218318,0.11345
4,15,20000,0.03441744372505272,223.46625754457227,6.883488745010544,2.6379337230601045,2.61115,4,4,0.07521989764945831,0.06465
4,16,20000,0.05042889353829765,213.1630291708192,10.08577870765953,2.7341373386695134,2.7070999999999996,4,4,0.10390957334940412,0.1094
4,17,20000,0.043706607766304514,13.483770489769956,8.741321553260903,3.1976914310433333,3.1145,4,4,0.32623617384917075,0.2848
4,18,20000,0.02116304537179019,661.5217155312973,4.232609074358038,2.632039919778899,2.6525,4,4,0.07556694944970781,0.06995
4,19,20000,0.0314583017593641,526.0252752109593,6.29166035187282,3.1260170702170833,3.1808,4,4,0.3013416982406359,0.3328
4,20,20000,0.10724471212605971,35.8522478724918,21.448942425211943,2.7097327546711254,2.58635,4,4,0.09774079672214878,0.07445
4,21,20000,0.05391375722777814,37.25872246100688,10.782751445555629,3.374152666749396,3.27595,4,4,0.45006007874154064,0.4053
4,22,20000,0.05526073512387478,16.117765080716126,11.052147024774955,3.4865121568853694,3.4081,4,4,0.5440896018685455,0.4892
4,23,20000,0.20101086485941172,62.86855627458795,40.20217297188234,3.737720364686906,3.48055,4,4,0.7475608648466655,0.54655
8,0,20000,0.04108802620533615,59.97265854328185,8.21760524106723,3.8453638970809747,3.7922500000000006,5,5,0.00016534132958700992,5e-05
8,1,20000,0.02668294077925245,37.00100417604374,5.336588155850491,3.988288578191897,3.9849500000000004,6,5,0.00037488585725298267,0.0004
8,2,20000,0.0343334604286266,71.5378761736496,6.866692085725321,5.44671810380592,5.50435,7,7,0.028359042070577496,0.02735
8,3,20000,0.05100219951838265,590.6609468139691,10.20043990367653,5.606240692867674,5.57155,7,7,0.02730496418542348,0.0218
8,4,20000,0.08611057469304367,40.56468548939537,17.222114938608733,6.136497509648889,5.9553,8,8,0.08404605237675106,0.07225
8,5,20000,0.03589545902659004,163.08274149429434,7.179091805318009,5.861042783728456,5.877249999999999,7,7,0.04392442792289803,0.0385
8,6,20000,0.044318528820100206,453.57423873362234,8.863705764020043,4.414929875339016,4.347449999999999,6,6,0.0010188207866119734,0.00045
8,7,20000,0.042750656704082984,344.22118609166046,8.550131340816597,4.586066328619388,4.70245,6,6,0.0030348959292146893,0.0036
8,8,20000,0.0502761382728219,793.1965102105498,10.05522765456438,4.392676785910511,4.3224,6,6,0.0007556735999256774,0.0005
8,9,20000,0.10514880758699983,129.72205625687894,21.029761517399965,6.406355296244147,6.3132,8,8,0.12683179898359204,0.1571
8,10,20000,0.031481144970222946,21.731372000444953,6.296228994044589,7.25637690390332,7.2036,8,8,0.4147223056045647,0.40595
8,11,20000,0.011274326400967333,28.49759516052289,2.2548652801934668,6.866580949755006,6.88525,8,8,0.28122806362625047,0.2862
